"Date","Price","Open","High","Low","Change %"
"Feb 26, 2019","0.01520","0.01530","0.01530","0.01520","-0.65%"
"Feb 25, 2019","0.01530","0.01530","0.01530","0.01520","0.04%"
"Feb 24, 2019","0.01529","0.01529","0.01529","0.01529","-0.04%"
"Feb 22, 2019","0.01530","0.01520","0.01530","0.01520","0.66%"
"Feb 21, 2019","0.01520","0.01520","0.01530","0.01520","0.00%"
"Feb 20, 2019","0.01520","0.01520","0.01530","0.01520","0.00%"
"Feb 19, 2019","0.01520","0.01510","0.01520","0.01510","0.66%"
"Feb 18, 2019","0.01510","0.01510","0.01510","0.01510","0.13%"
"Feb 17, 2019","0.01508","0.01508","0.01508","0.01508","-0.13%"
"Feb 15, 2019","0.01510","0.01500","0.01510","0.01500","0.67%"
"Feb 14, 2019","0.01500","0.01500","0.01510","0.01490","0.00%"
"Feb 13, 2019","0.01500","0.01520","0.01520","0.01500","-1.32%"
"Feb 12, 2019","0.01520","0.01520","0.01530","0.01510","0.00%"
"Feb 11, 2019","0.01520","0.01530","0.01530","0.01520","0.00%"
"Feb 10, 2019","0.01520","0.01520","0.01520","0.01520","-0.66%"
"Feb 08, 2019","0.01530","0.01520","0.01530","0.01510","0.66%"
"Feb 07, 2019","0.01520","0.01520","0.01520","0.01510","0.00%"
"Feb 06, 2019","0.01520","0.01520","0.01530","0.01520","0.00%"
"Feb 05, 2019","0.01520","0.01520","0.01530","0.01520","-0.33%"
"Feb 04, 2019","0.01525","0.01535","0.01535","0.01525","-0.11%"
"Feb 03, 2019","0.01527","0.01527","0.01527","0.01527","-0.22%"
"Feb 01, 2019","0.01530","0.01530","0.01530","0.01520","0.00%"
"Jan 31, 2019","0.01530","0.01530","0.01530","0.01520","0.00%"
"Jan 30, 2019","0.01530","0.01510","0.01530","0.01510","0.99%"
"Jan 29, 2019","0.01515","0.01515","0.01525","0.01515","0.33%"
"Jan 28, 2019","0.01510","0.01510","0.01520","0.01510","-0.35%"
"Jan 27, 2019","0.01515","0.01515","0.01515","0.01515","0.00%"
"Jan 25, 2019","0.01515","0.01525","0.01525","0.01515","-0.33%"
"Jan 24, 2019","0.01520","0.01510","0.01520","0.01510","0.66%"
"Jan 23, 2019","0.01510","0.01500","0.01510","0.01500","0.67%"
"Jan 22, 2019","0.01500","0.01510","0.01510","0.01500","-0.66%"
"Jan 21, 2019","0.01510","0.01510","0.01510","0.01500","0.07%"
"Jan 20, 2019","0.01509","0.01509","0.01509","0.01509","-0.07%"
"Jan 18, 2019","0.01510","0.01510","0.01510","0.01500","0.00%"
"Jan 17, 2019","0.01510","0.01510","0.01510","0.01500","0.00%"
"Jan 16, 2019","0.01510","0.01490","0.01510","0.01490","1.34%"
